DS Onderdelen>Chassis;CATEGORY;;;;;
DS Onderdelen>Uitlaten;CATEGORY;;;;;
Voorste bocht enkel 1965-1970;;;;322500;;55
Klem voorste bocht enkel 1965-1970;D1826A;;;322501;;23
Voorste bocht dubbel vanaf 1970;;;;322502;;72
Flexibel;;;;322503;;38
Voordemper Walker;;;;322504;;99
Voordemper IMASAF;;;;322505;;125
Tussen pijpen;;;;322506;;32
Achterpot;;;;322507;;64
Lange pijpen met montagerubbers ;;;;322508;;79
Lange pijpen;;;;322509;;74
Voorste montageset uitlaat;;;;322510;;33
Achterste montageset uitlaat;;;;322511;;38
Brilklem;;;;322512;;9
Klem flexibel U-model;;DG;;322513;;2.5
Dempingsrubber voordemper;1D5412277;;;322514;;8
Ophangrubber voordemper;;;;322515;;4
Mousse stootrubber midden;;;;322516;;3,5
Korte ophangrubber midden;;;;322517;;3
Ophangrubber achteraan;;;;322518;;3
Montageset uitlaat SM;;;;522100;;150
SM voordemper;;;;522200;;220
SM hoofddemper;;;;522300;;310
SM achterpijpen;;;;522400;;145
SM achterpotten;;;;522500;;200
DS Onderdelen>Elektriciteit & Ontsteking;CATEGORY;;;;;
Contactslot nieuw type mécanique met 2 sleutels;;;;323600;;235
Contactslot nieuw type hydraulique met 2 sleutels;;;;323601;;235
Contactslot tot 9/68  DS;;;;323602;;60
Contactsleutel blanco;;;;323603;;10
Kabelbundeltje bij injectoren met 12-polige stekker ;;;;323604;;50
Rubber kapje injectiestekker;;;;323605;;6
Linnen tape voor kabelboom;;;;323606;;6
Alternator  ;;;;323607;;235
Alternator met ingebouwde spanningsregelaar;;;;323608;;265
Spanningsregelaar tegen batterijbak;;;;323609;;120
Startrelais met kabel 90cm;;;;323610;;77
Startrelais met kabel 55cm (batterij rechts);;;;323611;;77
Massakabel (met 3 aansluitingen);;;;323612;;15
Veer op accuhouderstang ;1D5412820A;DW531-72;;323613;;7
Bougie Champion L87Y C;;;;323614;;4
Bougie NGK;;;;323615;;4
Bougiekabelset;;;;323616;;25
Bougiekabelset inj.;;;;323617;;27
Bougiekabelhouder;;;;323618;;17
Bougiekabelset  SM;;;;523100;;119
Bougiekabelset inj.  SM;;;;523200;;119
Bougie-isolatie;1D5451443R;;;323619;;3
Bougieschachtafdichting;1D5411688W;;;323620;;1
Bougieverlengstuk;;;;323621;;4
Bobijn met weerstand;2G5414438M;;;323622;;55
Bobijn zonder weerstand;2G5414438M;;;323623;;55
123-ontsteking ID/DS/HY (DS-A);;;;323624;;280
123-ontsteking ID/DS met vacuumvervroeging (DS-R-V);;;;323625;;365
123-ontsteking ID19B  DV ' 66 - ' 68;;;;323626;;345
123-ontsteking DS Bosch IE;;;;323627;;315
123-ontsteking tuning;;;;323628;;310
Gradenboog ontsteking;1D5401973Y;;;323629;;25
Glaszekering 20A (10 stuks);;;;323630;;3
Verdelerkap Ducellier;1D5452419Z;;;323631;;15
Verdelerkap Duc. boven aanslag;;;;323632;;22
Verdelerkap Bosch;;;;323633;;25
Verdelerkap SEV handmodel;;;;323634;;21
Verdelerkap SEV cassette;;;;323635;;22
Verdelerkap SEV boven aanslag, verende stift;;;;323636;;15
Verdelerkap SEV boven aanslag, vaste stift;;;;323637;;25
Contactpunt Ducellier;;;;323638;;9
Contactpunt Duc   oud type (>4/62);;;;323639;;9
Kontactpunt SEV;;;;323640;;14
Kontactpunt SEV  oud type;;;;323641;;13
Ontstekingscassette vanaf 3/72;;;;323642;;29
Bosch Inj. Punten tot 10/1971;;;;323643;;17
Bosch Inj. Punten vanaf 10/1971;;;;323644;;17
Rotor Ducellier;1D5452421W;;;323645;;8
Rotor Bosch;;;;323646;;7
Rotor SEV;;;;323647;;11
Rotor SEV cassette;;;;323648;;11
Rotor SEV  oud type, verend;;;;323649;;22
Rotor SM;;;;523100;;146
Condensator Ducellier;;;;323650;;6
Condensator Bosch;;;;323651;;13
Condensator SEV cassette;TVEO0178;;;323652;;15
DS Onderdelen>Verlichting;CATEGORY;;;;;
Koplampsierlijst plastic met clip, links;DX54134C;DX54134D;;324100;;25
Koplampsierlijst plastic met clip, rechts;DX54134C;DX54134D;;324101;;25
Clip voor koplampsierlijst plastic;;;;324102;;4
Clip voor koplampsierlijst inox;;;;324103;;5
Rubber afdichting koplampglas-voorscherm;D5416472W;;;324104;;5
Stelrubber koplamp met schroefdraad;;;;324105;;7
Koplampdemper revisieset;;;;324106;;15
Lampvoet koplamp;;;;324107;;12
Chroom rand oud type koplamp;;;;324108;;44
Kabel koplamp kort;;;;324109;;7
